Condition_Labels,Group_1_Input_ID,Group_2_Input_ID,Group_3_Input_ID,Group_4_Input_ID,Group_5_Input_ID
Number of Diagnoses,Number_of_Diagnoses_1,Number_of_Diagnoses_2,Number_of_Diagnoses_3,Number_of_Diagnoses_4,Number_of_Diagnoses_5
CBC: HEMATOCRIT,CBC_HEMATOCRIT_1,CBC_HEMATOCRIT_2,CBC_HEMATOCRIT_3,CBC_HEMATOCRIT_4,CBC_HEMATOCRIT_5
METABOLIC: ANION GAP,METABOLIC_ANION GAP_1,METABOLIC_ANION GAP_2,METABOLIC_ANION GAP_3,METABOLIC_ANION GAP_4,METABOLIC_ANION GAP_5
CBC: LYMPHOCYTES,CBC_LYMPHOCYTES_1,CBC_LYMPHOCYTES_2,CBC_LYMPHOCYTES_3,CBC_LYMPHOCYTES_4,CBC_LYMPHOCYTES_5
CBC: HEMOGLOBIN,CBC_HEMOGLOBIN_1,CBC_HEMOGLOBIN_2,CBC_HEMOGLOBIN_3,CBC_HEMOGLOBIN_4,CBC_HEMOGLOBIN_5
METABOLIC: SODIUM,METABOLIC_SODIUM_1,METABOLIC_SODIUM_2,METABOLIC_SODIUM_3,METABOLIC_SODIUM_4,METABOLIC_SODIUM_5
METABOLIC: ALBUMIN,METABOLIC_ALBUMIN_1,METABOLIC_ALBUMIN_2,METABOLIC_ALBUMIN_3,METABOLIC_ALBUMIN_4,METABOLIC_ALBUMIN_5
METABOLIC: BUN,METABOLIC_BUN_1,METABOLIC_BUN_2,METABOLIC_BUN_3,METABOLIC_BUN_4,METABOLIC_BUN_5
CBC: NEUTROPHILS,CBC_NEUTROPHILS_1,CBC_NEUTROPHILS_2,CBC_NEUTROPHILS_3,CBC_NEUTROPHILS_4,CBC_NEUTROPHILS_5
METABOLIC: CALCIUM,METABOLIC_CALCIUM_1,METABOLIC_CALCIUM_2,METABOLIC_CALCIUM_3,METABOLIC_CALCIUM_4,METABOLIC_CALCIUM_5
METABOLIC: GLUCOSE,METABOLIC_GLUCOSE_1,METABOLIC_GLUCOSE_2,METABOLIC_GLUCOSE_3,METABOLIC_GLUCOSE_4,METABOLIC_GLUCOSE_5
URINALYSIS: PH,URINALYSIS_PH_1,URINALYSIS_PH_2,URINALYSIS_PH_3,URINALYSIS_PH_4,URINALYSIS_PH_5
METABOLIC: BILI,METABOLIC_BILI_1,METABOLIC_BILI_2,METABOLIC_BILI_3,METABOLIC_BILI_4,METABOLIC_BILI_5
METABOLIC: POTASSIUM,METABOLIC_POTASSIUM_1,METABOLIC_POTASSIUM_2,METABOLIC_POTASSIUM_3,METABOLIC_POTASSIUM_4,METABOLIC_POTASSIUM_5
URINALYSIS: RED BLOOD CELLS,URINALYSIS_RED BLOOD CELLS_1,URINALYSIS_RED BLOOD CELLS_2,URINALYSIS_RED BLOOD CELLS_3,URINALYSIS_RED BLOOD CELLS_4,URINALYSIS_RED BLOOD CELLS_5
METABOLIC: CARBON DIOXIDE,METABOLIC_CARBON DIOXIDE_1,METABOLIC_CARBON DIOXIDE_2,METABOLIC_CARBON DIOXIDE_3,METABOLIC_CARBON DIOXIDE_4,METABOLIC_CARBON DIOXIDE_5
METABOLIC: CREATININE,METABOLIC_CREATININE_1,METABOLIC_CREATININE_2,METABOLIC_CREATININE_3,METABOLIC_CREATININE_4,METABOLIC_CREATININE_5
URINALYSIS: SPECIFIC GRAVITY,URINALYSIS_SPECIFIC GRAVITY_1,URINALYSIS_SPECIFIC GRAVITY_2,URINALYSIS_SPECIFIC GRAVITY_3,URINALYSIS_SPECIFIC GRAVITY_4,URINALYSIS_SPECIFIC GRAVITY_5
CBC: MEAN CORPUSCULAR VOLUME,CBC_MEAN CORPUSCULAR VOLUME_1,CBC_MEAN CORPUSCULAR VOLUME_2,CBC_MEAN CORPUSCULAR VOLUME_3,CBC_MEAN CORPUSCULAR VOLUME_4,CBC_MEAN CORPUSCULAR VOLUME_5
METABOLIC: CHLORIDE,METABOLIC_CHLORIDE_1,METABOLIC_CHLORIDE_2,METABOLIC_CHLORIDE_3,METABOLIC_CHLORIDE_4,METABOLIC_CHLORIDE_5
METABOLIC: ALT/SGPT,METABOLIC_ALT/SGPT_1,METABOLIC_ALT/SGPT_2,METABOLIC_ALT/SGPT_3,METABOLIC_ALT/SGPT_4,METABOLIC_ALT/SGPT_5
METABOLIC: AST/SGOT,METABOLIC_AST/SGOT_1,METABOLIC_AST/SGOT_2,METABOLIC_AST/SGOT_3,METABOLIC_AST/SGOT_4,METABOLIC_AST/SGOT_5
METABOLIC: ALK PHOS,METABOLIC_ALK PHOS_1,METABOLIC_ALK PHOS_2,METABOLIC_ALK PHOS_3,METABOLIC_ALK PHOS_4,METABOLIC_ALK PHOS_5
CBC: EOSINOPHILS,CBC_EOSINOPHILS_1,CBC_EOSINOPHILS_2,CBC_EOSINOPHILS_3,CBC_EOSINOPHILS_4,CBC_EOSINOPHILS_5
CBC: ABSOLUTE NEUTROPHILS,CBC_ABSOLUTE NEUTROPHILS_1,CBC_ABSOLUTE NEUTROPHILS_2,CBC_ABSOLUTE NEUTROPHILS_3,CBC_ABSOLUTE NEUTROPHILS_4,CBC_ABSOLUTE NEUTROPHILS_5
CBC: MCH,CBC_MCH_1,CBC_MCH_2,CBC_MCH_3,CBC_MCH_4,CBC_MCH_5
URINALYSIS: WHITE BLOOD CELLS,URINALYSIS_WHITE BLOOD CELLS_1,URINALYSIS_WHITE BLOOD CELLS_2,URINALYSIS_WHITE BLOOD CELLS_3,URINALYSIS_WHITE BLOOD CELLS_4,URINALYSIS_WHITE BLOOD CELLS_5
CBC: ABSOLUTE LYMPHOCYTES,CBC_ABSOLUTE LYMPHOCYTES_1,CBC_ABSOLUTE LYMPHOCYTES_2,CBC_ABSOLUTE LYMPHOCYTES_3,CBC_ABSOLUTE LYMPHOCYTES_4,CBC_ABSOLUTE LYMPHOCYTES_5
CBC: PLATELET COUNT,CBC_PLATELET COUNT_1,CBC_PLATELET COUNT_2,CBC_PLATELET COUNT_3,CBC_PLATELET COUNT_4,CBC_PLATELET COUNT_5
CBC: RED BLOOD CELL COUNT,CBC_RED BLOOD CELL COUNT_1,CBC_RED BLOOD CELL COUNT_2,CBC_RED BLOOD CELL COUNT_3,CBC_RED BLOOD CELL COUNT_4,CBC_RED BLOOD CELL COUNT_5
CBC: WHITE BLOOD CELL COUNT,CBC_WHITE BLOOD CELL COUNT_1,CBC_WHITE BLOOD CELL COUNT_2,CBC_WHITE BLOOD CELL COUNT_3,CBC_WHITE BLOOD CELL COUNT_4,CBC_WHITE BLOOD CELL COUNT_5
CBC: RDW,CBC_RDW_1,CBC_RDW_2,CBC_RDW_3,CBC_RDW_4,CBC_RDW_5
CBC: MCHC,CBC_MCHC_1,CBC_MCHC_2,CBC_MCHC_3,CBC_MCHC_4,CBC_MCHC_5
CBC: MONOCYTES,CBC_MONOCYTES_1,CBC_MONOCYTES_2,CBC_MONOCYTES_3,CBC_MONOCYTES_4,CBC_MONOCYTES_5
METABOLIC: TOTAL PROTEIN,METABOLIC_TOTAL PROTEIN_1,METABOLIC_TOTAL PROTEIN_2,METABOLIC_TOTAL PROTEIN_3,METABOLIC_TOTAL PROTEIN_4,METABOLIC_TOTAL PROTEIN_5
CBC: BASOPHILS,CBC_BASOPHILS_1,CBC_BASOPHILS_2,CBC_BASOPHILS_3,CBC_BASOPHILS_4,CBC_BASOPHILS_5
